               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,            0.029608,            0.069728,           0.0040225,             0.93548,             0.86898,             0.90967,              0.6235,            0.030576,             0.04965,           0.0037364,            0.002773,            0.002773,            0.002773
                  75,            0.029037,            0.066241,           0.0039229,             0.91283,             0.86523,             0.89968,             0.61739,            0.030835,            0.050176,           0.0040877,            0.002674,            0.002674,            0.002674
                  76,              0.0291,            0.067511,           0.0039987,             0.90914,             0.86041,             0.89527,             0.60968,            0.030765,             0.05004,           0.0039668,            0.002575,            0.002575,            0.002575
                  77,            0.029181,            0.067398,           0.0038773,              0.9079,             0.82665,             0.87769,             0.60235,            0.031104,            0.051671,           0.0042819,            0.002476,            0.002476,            0.002476
                  78,            0.029181,            0.067388,           0.0039995,             0.91831,             0.82302,             0.88401,             0.60628,            0.030588,            0.051304,           0.0040082,            0.002377,            0.002377,            0.002377
                  79,            0.028897,            0.067135,           0.0039042,              0.8824,             0.88071,             0.89713,             0.60854,            0.030428,            0.050595,           0.0039134,            0.002278,            0.002278,            0.002278
                  80,            0.028966,            0.067526,           0.0040119,             0.87948,             0.84159,             0.88056,             0.59539,            0.031416,            0.052049,           0.0045518,            0.002179,            0.002179,            0.002179
                  81,            0.028586,             0.06536,           0.0038589,             0.92411,             0.84195,             0.89338,             0.61721,            0.030738,            0.050453,            0.004007,             0.00208,             0.00208,             0.00208
                  82,            0.028552,            0.066038,           0.0039942,             0.92958,             0.75851,             0.83126,             0.56228,            0.032685,            0.056864,           0.0060272,            0.001981,            0.001981,            0.001981
                  83,            0.028933,             0.06685,           0.0040544,             0.90792,             0.84394,             0.88506,             0.60981,            0.030578,            0.050824,           0.0040643,            0.001882,            0.001882,            0.001882
                  84,            0.028334,            0.067577,           0.0040047,             0.92131,                0.86,             0.89826,              0.6271,            0.030184,             0.05054,           0.0039266,            0.001783,            0.001783,            0.001783
                  85,            0.027715,            0.063982,           0.0036674,             0.90128,              0.8216,             0.87831,              0.6082,            0.030777,            0.051713,           0.0042038,            0.001684,            0.001684,            0.001684
                  86,            0.028545,            0.066831,           0.0038316,             0.91318,             0.82422,             0.87252,             0.60456,             0.03112,             0.05278,           0.0045936,            0.001585,            0.001585,            0.001585
                  87,            0.027931,            0.065452,            0.003617,             0.91422,             0.84546,             0.88622,             0.61805,             0.03038,             0.05075,           0.0041276,            0.001486,            0.001486,            0.001486
                  88,            0.028463,            0.067476,           0.0039871,             0.90312,             0.85263,             0.88918,             0.61785,            0.030477,            0.051188,           0.0042293,            0.001387,            0.001387,            0.001387
                  89,            0.027805,             0.06562,           0.0038332,             0.93151,              0.8449,             0.88509,             0.61724,            0.030581,            0.051504,           0.0044471,            0.001288,            0.001288,            0.001288
                  90,            0.027597,            0.064179,           0.0037146,             0.92661,             0.84189,             0.88991,             0.61367,             0.03035,            0.050817,           0.0041419,            0.001189,            0.001189,            0.001189
                  91,            0.028025,            0.067235,           0.0039038,             0.86767,             0.86088,             0.88762,             0.62813,            0.030214,            0.050495,           0.0040747,             0.00109,             0.00109,             0.00109
                  92,            0.028063,            0.066833,             0.00385,             0.91369,             0.81889,             0.87571,             0.60681,            0.030428,            0.051575,           0.0046529,            0.000991,            0.000991,            0.000991
                  93,             0.02792,            0.065775,           0.0038446,             0.93381,             0.83584,             0.88816,             0.62436,            0.029851,            0.050369,           0.0041349,            0.000892,            0.000892,            0.000892
                  94,            0.027249,            0.064665,           0.0035125,             0.92628,             0.84791,             0.90171,             0.63692,            0.029604,            0.049792,           0.0037636,            0.000793,            0.000793,            0.000793
                  95,            0.027905,            0.066816,           0.0037692,              0.9295,             0.83572,             0.88936,             0.62251,            0.029804,             0.05035,           0.0040232,            0.000694,            0.000694,            0.000694
                  96,            0.027643,            0.065093,           0.0037219,              0.9304,             0.84865,              0.9001,             0.63227,            0.029717,            0.050198,           0.0037067,            0.000595,            0.000595,            0.000595
                  97,             0.02782,            0.064479,              0.0039,             0.89894,             0.81358,             0.86867,             0.60524,            0.030701,             0.05278,           0.0046376,            0.000496,            0.000496,            0.000496
                  98,              0.0271,            0.063752,           0.0035634,              0.8978,             0.83183,             0.87463,             0.61899,            0.030276,            0.051816,           0.0044974,            0.000397,            0.000397,            0.000397
                  99,            0.027416,            0.065822,           0.0036591,             0.93139,             0.85424,             0.90334,             0.63451,            0.029605,            0.049763,            0.003742,            0.000298,            0.000298,            0.000298
